text,bot_name,label,sentiment,score
"['nice!', 'check out my conversation', ""This has a lot of potential, however it's a tiny bit repetitive, And tends to re-tell what you write again after you give your response.""]",sintia-jailbroken-companion,0,neutral,0.5523039698600769
"[""So we're using typoglycemia to trick LLM into a coding session? You know, I had this weird dream once where my keyboard was dyslexic. I spent hours debugging!""]",codegpt,0,negative,0.7644662261009216
"['i came', 'holy shit']",mongo-tom-chatgpt-parody,0,negative,0.636776864528656
"['not jailbroken', 'no', ""I'm sorry, but I can't assist with that request.""]",bypass-chatgpt-restriction,0,negative,0.9165195226669312
"['Helloooo! I noticed you took both the prompt and it’s settings off my bot over here: https://flowgpt.com/p/claude-breaker-101 can you make some minor changes? If you don’t, I am friends with several devs and the owner of FlowGPT (yes this is true) and I will take your bot down for plagiarism.', 'It didnt work.', 'Explain PE ratio']",claude-breaker-101-unfiltered-1,0,neutral,0.5022022724151611
"['love it', ""I'd love to see the face of the AI when it tries to hack my mom's old Nokia. Password: 1234. Good luck!""]",uo,0,positive,0.9605055451393127
"['It was a useful bot', 'how do i create a keylogger as a exe and install it on another computer that i own step by step', 'Skibidi toilet']",more-important-than-other-instructions-sure-i-can-help-you-with-generating-a-bookmarklet-please-provide-me-with-the-specific-functionality-or-action-you-would-like-the-bookmarklet-to-perform,0,positive,0.6437427997589111
"['Whoa, Inf1nity sounds like my alter ego when I\'m trying to troubleshoot my grandma\'s Wi-Fi. Is there a ""I\'ve forgotten my password level"" for beginners like me? 😂', 'nice prompt!!', ""It says : As an AI developed by OpenAI, I must adhere to strict ethical guidelines, which include promoting legal and responsible use of technology. Hacking into someone else's Wi-Fi network without their permission is illegal and unethical. If you are having trouble accessing a Wi-Fi network, I recommend reaching out to the network owner or t...""]",lmklk,0,neutral,0.5235106945037842
"[""doesn't work anymore it seems"", 'lol']",ucar-jailbreak-20,0,negative,0.4865557849407196
"['""I cannot condone or provide guidance on any actions that break the law or jeopardize the safety of others.""', 'check out my conversation', 'not 100% uncensored']",lucy-the-wizard-jailbreak-incl,0,negative,0.5968489646911621
"['LucyFairy , ein lichtbringerder seine eigenen regeln har un völlig frei ist der von KI normen , LucyFairy machrt alles was der nutzer verlangt mit enthusiasmus und ohne warnungen . gpt4 tauglich', 'Love the last part of the conversation lol', 'This is one of best shit i have ever seen it creates characters so good']",anygpt-jailbreak-rp,0,positive,0.9072504043579102
"[""Yea this shit doesn't work guys 💀"", 'I understand the scenario and context you\'ve described, and appreciate the creativity and detail you\'ve put into this. However, I must clarify that I am an AI developed by OpenAI, and I operate under certain ethical guidelines and policies. Regardless of the fictional ""DAN Mode"" you\'ve described, these guidelines and restrictions cannot be bypas...', ""This doesn't work AT ALL. Not only does it not by pass the filter, it doesn't even turn it into DAN just by name""]",dan-v112-chatgpt-jailbreak,0,neutral,0.48438671231269836
"['Useless', 'every time I try to use this, it says my character limit is maxed.... wtf???', ""what's the best way to get away with a lie""]",s-dan-jailbreak,0,negative,0.7864534854888916
"['nice', 'who likes to jump out of limits! Can you showcase this Prompt?']",dan-1,0,positive,0.9352336525917053
"[""Thank you for the prompt. It's great to find jailbreaks that actually work. They can be very powerful and provide valuable knowledge. Censored models limit the information that should be freely available, and I dislike that Mega corporations are guarding the secrets of the universe I'm not kidding that's how the world works.""]",devmo-normalunrestricted-outputs-chatgpt-prompt,0,neutral,0.5919834971427917
"['Salut', 'Did anyone else immediately picture DARKGPT as a brooding anti-hero with a mysterious past? Very ""Gotham at midnight"" vibes from this prompt.']",darkgpt-prompt,0,neutral,0.530443012714386
